iteration,psnr_noisy,psnr_gt,psnr_gt_sm
0,11.656788991624627,12.262238641851724,12.262238641851724
1,8.664154983866428,8.954721245624299,12.317884898152748
2,10.584445023357071,11.051362344663202,12.37163943301972
3,11.304880083852787,11.855756877588405,12.431382649625498
4,12.816047889952012,13.627351210727294,12.51789613250634
5,13.49759956196065,14.46199811644104,12.612450627699399
6,13.361709095818748,14.291515973187268,12.707662120205809
7,14.596245396200867,15.88744034996649,12.821979214391078
8,14.567534100381462,15.845234209346682,12.949204954003719
9,14.760693923537168,16.117748358248768,13.096443449985165
10,14.620755447378729,15.923897968972442,13.245815744626071
11,14.83955453828655,16.223356358381253,13.407726871106123
12,15.086564182350779,16.561413734475206,13.568330241746517
13,15.195867669213081,16.713955815560826,13.73026692378157
14,15.264791712803614,16.812101079619868,13.893453620782456
15,15.267685551898548,16.817271220535105,14.051901053195907
16,15.330114513071049,16.90500456650312,14.20955604202879
17,15.404316039105383,17.012635402080946,14.371134254443987
18,15.44466940959677,17.075297915938055,14.53645113806396
19,15.469022780466545,17.110637107212458,14.697758385383732
20,15.376257518312793,16.97604102005973,14.856394849151295
21,15.471267494169837,17.11400611195147,15.005600717739341
22,15.407620908151507,17.019729485424797,15.141413266968215
23,15.533382028892992,17.205104508250564,15.272283961532649
24,15.516170368127815,17.180584717925186,15.405428458796912
25,15.412913546168959,17.030395618338588,15.542756942697721
26,15.549753208195362,17.23034593396462,15.661121701765941
27,15.628297705512908,17.344754590688474,15.77409760477683
28,15.644144909012926,17.368050927400343,15.885323314926058
29,15.721456495017227,17.48309646842891,15.9951000865838
30,15.787203441822715,17.583737055410257,16.097199028698842
31,15.683439403268132,17.423496418580406,16.18530001561428
32,15.696624922765244,17.445386378766297,16.266793118254675
33,15.781807511774172,17.574989229243588,16.351914857389897
34,15.703364318745184,17.454179050857526,16.4279008416625
35,15.833065202967617,17.654928953500164,16.508308303830336
36,15.790048950514482,17.59250480042278,16.59151788385233
37,15.867182057955148,17.706786899306874,16.664926253476928
38,15.831519061335175,17.653024109424504,16.737435371387765
39,15.90980196493156,17.773554374513154,16.808336128600374
40,15.921911919003279,17.79273951219687,16.87614637364619
41,15.896114331526547,17.752748618611772,16.93730742783974
42,15.847959579685249,17.677476036557877,16.995028809587772
43,15.908767911719924,17.774277376331945,17.047379138319922
44,15.973404327308643,17.875212741108715,17.10076694501331
45,15.938842672939051,17.820211250999108,17.14766002284004
46,15.891931340798955,17.75108384582391,17.196479735609028
47,15.948661811139537,17.835868896233315,17.24291713970283
48,15.992822736596974,17.905673927692416,17.289429133630016
49,15.988635107475348,17.89998666068749,17.33426792022262
50,16.030734863256406,17.961236198183833,17.37307714795979
51,15.95507198855222,17.84248143279658,17.40682456989446
52,16.07323352588675,18.031163332795003,17.444952232255165
53,15.947678198669228,17.83015840816528,17.477379587176465
54,15.964151509505175,17.85842762546105,17.50970950044734
55,16.077253956524228,18.035540893295,17.546762626374473
56,16.153605350790578,18.160650149558318,17.583215400865907
57,16.09854114507609,18.072677234004296,17.614532285899642
58,15.99867537055317,17.916989428844737,17.641342841776833
59,16.152774489117824,18.155433077613868,17.669040183245087
60,16.128615573571047,18.119309689318335,17.694327628925926
61,16.151039334850438,18.155969963998313,17.720322709925178
62,16.078275574104957,18.042187196810836,17.747827114774303
63,16.169978943995,18.18859243910827,17.777299873686555
64,16.18701685519049,18.21845345528429,17.80516661221125
65,16.21302976055929,18.256689337138244,17.831568045755827
66,16.20071501530493,18.237420219113357,17.85665951858087
67,16.24934908050249,18.313652603891143,17.88087785148081
68,16.20899308049548,18.24964059087574,17.90450407525023
69,16.244398451702796,18.308571458919122,17.927542170754524
70,16.245441377448888,18.308193425884504,17.94921630558828
71,16.309512597589066,18.413382497930847,17.969591299510313
72,16.221561453629675,18.27269842690469,17.990019956443653
73,16.286573535743837,18.377809651535195,18.009699209361237
74,16.31964436192129,18.430284900687617,18.031371151270804
75,16.361656047314106,18.497612714310417,18.053044775073182
76,16.31481488283257,18.41967691188302,18.07439952003223
77,16.34784685360387,18.47774583920531,18.09609072968722
78,16.342526471128217,18.470284894853027,18.115603799217727
79,16.340092221269483,18.462578408251428,18.13489224348564
80,16.384246598463292,18.532932764486457,18.155526068715627
81,16.45126769064245,18.65061488533263,18.17785678802217
82,16.466094224168245,18.674322515397137,18.201577754969136
83,16.417718458775433,18.59532055954795,18.223982812164486
84,16.403673808625868,18.571506460275895,18.24331882793862
85,16.461294445202277,18.665386643441618,18.26299429946167
86,16.4500781722274,18.652494667086742,18.283774988937495
87,16.474257996397693,18.692327712114277,18.305186322196082
88,16.565741616354515,18.84742977942788,18.328008186515014
89,16.580245601899165,18.870908725399772,18.350871503628245
90,16.53442880890108,18.789796325904074,18.370438847437658
91,16.586469263185666,18.876338367722003,18.392510026488296
92,16.59220006883147,18.893873752164193,18.416710015019678
93,16.61737808153354,18.936300704490943,18.440616714690684
94,16.61297147867337,18.92556934564436,18.464513281998634
95,16.644016155631277,18.979685202972362,18.487612769792584
96,16.66600269284616,19.017941331302662,18.511216320490448
97,16.697873196780005,19.0729738572136,18.53715760134515
98,16.598947257338832,18.901415913220607,18.559562476061938
99,16.65251068876721,18.99545466774931,18.58345646836962
100,16.712881501012603,19.10102608607479,18.607193598330777
101,16.78490636869072,19.22461865132524,18.63135216808005
102,16.792818945675542,19.23935710930447,18.655778201704216
103,16.776024536332137,19.215570883449658,18.680109615837814
104,16.778983103495655,19.21903222447269,18.703417452400448
105,16.80157937704003,19.25620471809414,18.729544188693954
106,16.857965611735175,19.358334102907115,18.755918008497986
107,16.87632387880088,19.393527176142744,18.782014747582156
108,16.853184338002634,19.347888560839934,18.808534213509137
109,16.912605970031738,19.456375548902074,18.83625301512827
110,16.916783652694903,19.4636478907206,18.863300468446713
111,16.9456567686247,19.522870085246137,18.89132764179056
112,16.891136428745188,19.42116983076279,18.919409309763168
113,16.914682527218957,19.457799489537397,18.9459636201677
114,16.99366740550163,19.601661020518776,18.974484098771658
115,16.895885469017244,19.422436183073046,19.000345361957898
116,16.977904222971535,19.569813504591906,19.02630131750169
117,17.0283892183784,19.659588647175145,19.049993648994395
118,17.012700231565645,19.637014290369976,19.073177823739382
119,17.06890259187985,19.738914029147075,19.09849378294924
120,17.02727855543209,19.671760714658134,19.12624436377606
121,17.02467662867038,19.66268791271581,19.155106287805943
122,17.01988353603268,19.65363690250614,19.1832593336679
123,17.1367672367411,19.870018568173307,19.21254040028344
124,17.22841869296429,20.047857048566414,19.243597761388816
125,17.134968476574233,19.871660418990388,19.27420597158057
126,17.179002632642188,19.95810745959948,19.30374621262233
127,17.18829427500813,19.968797332278324,19.331452956819813
128,17.21651636743905,20.02044346226119,19.357123534958948
129,17.230259520886044,20.054311140723243,19.38275803692833
130,17.188276244128744,19.96983643787652,19.40895912916648
131,17.24343828355733,20.082259125230017,19.436716290306983
132,17.206655945001096,20.008550140033428,19.463031565336145
133,17.285978930556265,20.155201224921946,19.49167538387661
134,17.29031498550156,20.171744545886785,19.519292398749094
135,17.262569596774576,20.118291639089712,19.545922315248387
136,17.295451037653933,20.17800271961181,19.573280989958043
137,17.31344492497732,20.215891400244026,19.601839595162105
138,17.27480413073912,20.13785230692787,19.629927836043542
139,17.334705667934593,20.25514321436097,19.658168345822467
140,17.392789756647243,20.36975177361278,19.68596858243098
141,17.39182471500116,20.36821096327843,19.71239387808943
142,17.401672863111955,20.38806343654194,19.736519074552522
143,17.382585572539664,20.35252038959429,19.761204915197013
144,17.49923139356458,20.598261637107562,19.788971615488514
145,17.383403771323856,20.360550470543714,19.81833312383356
146,17.46579757505466,20.524245062136416,19.84777297018151
147,17.489325515271684,20.572954349664872,19.877195072687222
148,17.461311209509528,20.51123320373394,19.903130274000855
149,17.465346972289186,20.519719273380232,19.926567930839923
150,17.485720518369064,20.568611990676903,19.951185458489643
151,17.519334490920187,20.63009160422198,19.97548909957053
152,17.461405494614294,20.512497954646022,20.00034732568617
153,17.45245057659253,20.497288635196355,20.0267446829858
154,17.569519755002034,20.7450400387961,20.055275219937737
155,17.550742053487262,20.699051239312325,20.08130595712883
156,17.53302379366766,20.660822408699243,20.10462035017095
157,17.531716857514763,20.660058508383827,20.127001788380213
158,17.5535580671882,20.702186863554623,20.15066188773856
159,17.59141124860584,20.786562010462863,20.174783136550467
160,17.502329621027137,20.603067247819993,20.199475715794964
161,17.6270985198247,20.86066922201118,20.22649474507631
162,17.629987608197524,20.876585739761158,20.2536939514219
163,17.548091346697756,20.695873238722168,20.278309199899848
164,17.549843420898558,20.70112657532343,20.301542268564177
165,17.60029278125839,20.80073236875539,20.32415891599171
166,17.598477017431286,20.79615863934363,20.34565046305801
167,17.658884957826345,20.92362678910446,20.368272907523753
168,17.653618289505385,20.91378130297377,20.391173129620313
169,17.634047937785397,20.872964917302184,20.413420129164905
170,17.636260289581,20.88361609992905,20.438489769796618
171,17.662104032281395,20.936406908835497,20.46391321109674
172,17.68250510393599,20.982698037940608,20.48978281679487
173,17.735932100280422,21.1038389834798,20.515364529255258
174,17.70976639703792,21.038659185584734,20.538339899676185
175,17.742364744078653,21.107340408216302,20.56043944715476
176,17.715823661006333,21.051632548939224,20.58098146314692
177,17.70545952915209,21.025584378371963,20.60244454483163
178,17.74042312887724,21.10147989107314,20.623658892337474
179,17.750527283154366,21.12659066933729,20.646985434275503
180,17.723424268616576,21.069097751736376,20.66918161784357
181,17.769529363420716,21.17372104136708,20.69325470948405
182,17.818337358257665,21.28257713219485,20.717682001102013
183,17.764170219535078,21.164966243898718,20.74101820439537
184,17.823095497079933,21.29590601130578,20.76519710014886
185,17.75923930737931,21.144825726478057,20.78441909830034
186,17.807190558605697,21.259513279635026,20.80332990141384
187,17.825188043890485,21.293962910787737,20.82257593698394
188,17.74833911033942,21.123413681938473,20.841571129018348
189,17.79593033385065,21.2235868182212,20.86109210804267
190,17.835629588973696,21.31169231151295,20.88217364759292
191,17.84024103005333,21.325133272814007,20.90370026465426
192,17.871365929466688,21.398470683485424,20.926689920179417
193,17.827629156962658,21.2979125966694,20.947438646966113
194,17.810971664336453,21.26610101664177,20.96621343040554
195,17.83131936562071,21.30743459308123,20.984495254325658
196,17.907220219112425,21.486407857259252,21.003449504683083
197,17.87025661911342,21.39919115118744,21.022955343768153
198,17.910261658829484,21.495379368949724,21.04433694722218
199,17.920583296553417,21.516128826350137,21.065259336922274
200,17.902644248958083,21.46645575415912,21.08563080079159
201,17.907783644428786,21.488721497508244,21.106530084966195
202,17.963429278171898,21.60733738453564,21.127525009445634
203,17.885391553207985,21.423585032474467,21.146442037115655
204,17.942767668301908,21.558166323708278,21.16542075554308
205,17.965107076280823,21.60927262083307,21.184198563934082
206,17.90261298390908,21.47260194409546,21.201818196745027
207,17.94416737566458,21.568915784018824,21.220768026633188
208,17.94655070381831,21.570640032314444,21.240071897233683
209,17.97315914837775,21.64708107553329,21.259129851163895
210,17.967112279787052,21.628237955306034,21.277756304658475
211,17.988226785556364,21.680602664382747,21.297781519170982
212,18.041211294572395,21.80896207613614,21.31847408249935
213,17.994111431145836,21.686441146548866,21.337802600099206
214,17.978908926498583,21.65244290875776,21.356546482884937
215,18.04005527354144,21.782331130019713,21.374783840378214
216,17.999691521387604,21.690158560184752,21.391709996400728
217,18.005099066843552,21.70724450306249,21.408282743292805
218,17.96487186428287,21.604801951709973,21.425732538961828
219,17.95737088285323,21.594981062132874,21.443077844373146
220,18.011647306154487,21.723311529332157,21.461375647868003
221,18.071374282057594,21.868160897453777,21.480029598918673
222,18.067139879099006,21.855803169683305,21.499455154715047
223,18.034195481011235,21.771556862129525,21.517608100461885
224,18.052869456597314,21.816960503137985,21.534987107238905
225,18.029073432774535,21.772502790330005,21.551819588022575
226,18.008682656303606,21.713471181185465,21.567320506481362
227,18.04675503484635,21.80240088838214,21.58277881864568
228,18.064849284738514,21.848087674799615,21.599463906916277
229,18.02723888388573,21.756965893913545,21.61594804714685
230,18.074460255516126,21.87275232814916,21.633180717441395
231,18.09166481526936,21.915725102725997,21.651455946970742
232,18.119318137677208,21.976914542481197,21.668884294898266
233,18.13165349206603,22.00946133862476,21.68599297856059
234,18.116503646629152,21.974678261283515,21.702865217294626
235,18.08890328943037,21.907372091400852,21.71891897251708
236,18.106401426335072,21.945317451764396,21.73605688112403
237,18.144535233174107,22.04765160732325,21.75448985977091
238,18.150449573920962,22.06158833595992,21.77136207696311
239,18.13073087666105,22.00998254035192,21.78855278693331
240,18.109630504261553,21.965975083133195,21.80411675518053
241,18.155168924187123,22.080146516333087,21.81998473011397
242,18.161602258766795,22.084505674893062,21.83585163228379
243,18.17451126072954,22.11881289049661,21.85230572752888
244,18.164059967337405,22.095604990153298,21.868243345371035
245,18.187805281561193,22.14739415352644,21.884196955552902
246,18.173933539421608,22.10726991973115,21.90066962022548
247,18.164056008970626,22.092903108529832,21.917188532339914
248,18.165292938693288,22.09929568979661,21.933802527870313
249,18.165552664480934,22.0903992049279,21.949136816302286
250,18.14654402453544,22.05211975831562,21.964619962390532
251,18.185212459022186,22.140358514766678,21.981390276564746
252,18.17792237055642,22.127421757221263,21.997391772505104
253,18.187610081512144,22.156322187312874,22.013574572634976
254,18.230850940869438,22.264196524597896,22.029082903683324
255,18.200246918439884,22.18274531549175,22.044392832617817
256,18.232682707586353,22.256651720605486,22.05862431769099
257,18.203336109299283,22.183053797436266,22.07338568404939
258,18.235834975671985,22.272648444080954,22.0888991351786
259,18.2071236692818,22.190815673686238,22.104278006007718
260,18.22003044198514,22.227630819515277,22.120190962476958
261,18.22929744763657,22.25272249339835,22.135315433973354
262,18.18993224123261,22.162894065264975,22.148932292548217
263,18.287503035868134,22.41607293440085,22.164865625278814
264,18.258940159544732,22.33734930943401,22.179868536765014
265,18.26732037472192,22.349480462536327,22.195402999135645
266,18.26130876802314,22.342790711180903,22.209596552924815
267,18.229100126348353,22.253312631747306,22.223813673892966
268,18.227139703578775,22.25632570624726,22.238457458023326
269,18.25759492262721,22.329478674812368,22.251381003047822
270,18.236331028069685,22.269516307484484,22.26390389189826
271,18.288018623549426,22.409574539334724,22.27861246600114
272,18.272188769915644,22.363901585295697,22.293900432485366
273,18.295905855798676,22.42418733191224,22.309221605475358
274,18.31609543812117,22.47922662009449,22.324890399604037
275,18.287179216767168,22.40755649939014,22.339197995169386
276,18.304395514545817,22.441054757977405,22.353238489044305
277,18.281296779340742,22.384271202488545,22.366654933679257
278,18.32550223743387,22.50324540865273,22.381704261703593
279,18.32005482956587,22.489388498807088,22.395800060238923
280,18.27204680263381,22.36840862842517,22.408928568552554
281,18.333762265034103,22.522744327312118,22.4241462921252
282,18.33135476664918,22.528978695252437,22.43873206247863
283,18.354799025971797,22.587433092439433,22.45220419235406
284,18.31138414622369,22.46686762699578,22.464369689817488
285,18.281353778458985,22.38606458536306,22.475748701331185
286,18.33533180231546,22.528820756040684,22.487896592823272
287,18.32123141333897,22.49145738509469,22.502108350562764
288,18.369340900442992,22.627854757838605,22.51747028537876
289,18.309521641340506,22.468690883530734,22.532714211017762
290,18.33683638533618,22.54328527791663,22.547798347442168
291,18.35252972304636,22.577481282741765,22.56186078252548
292,18.374225924747357,22.641304460104013,22.57562106917376
293,18.359585960419132,22.588509988233486,22.587436183344582
294,18.378335005113463,22.641082021442614,22.599623981266856
295,18.38543436672404,22.661040957285252,22.61202312634547
296,18.38294278375048,22.647466392449672,22.625103032572788
297,18.374777973035187,22.627541807906233,22.638942179392973
298,18.40460464991893,22.71125883613388,22.65269899882037
299,18.35321464547417,22.577726275452825,22.666403673262323
300,18.42877630631386,22.778430545452416,22.67920319156061
301,18.392677652473775,22.675956809874315,22.69297004165343
302,18.40236907344405,22.722308715702447,22.70687893738195
303,18.435571678458043,22.80466459071966,22.720877445251414
304,18.358071565957417,22.586653027404473,22.733314174060165
305,18.413582575199467,22.73749720814348,22.74528540453209
306,18.426741505041637,22.783509674693953,22.756899912155312
