iteration,psnr_noisy,psnr_gt,psnr_gt_sm
0,11.589809590946366,12.189634401410409,12.189634401410409
1,8.66392999117624,8.95471048211689,12.238431551545538
2,8.535030761959195,8.817381309583583,12.309000024268343
3,10.283422880900266,10.708865596001516,12.395808721310495
4,11.804387456844644,12.43380821583311,12.480452071588871
5,13.789764830958688,14.828433103129498,12.607935831335176
6,13.924045644178307,14.994324138806991,12.755591065135992
7,14.385963209196174,15.598807222835731,12.920226937018946
8,14.516919398293208,15.774557169902403,13.08999654421768
9,14.657336090161621,15.961507556634604,13.279033702880128
10,14.755684376268325,16.097582457362403,13.47333629918246
11,14.923865878893888,16.33361659358621,13.675143960712282
12,15.123212521253022,16.615826842209444,13.88409350151874
13,15.236108540884219,16.781258767694233,14.09532869384688
14,15.146142994648164,16.650883052321895,14.305490728311081
15,15.090983057719269,16.575416331679794,14.512172227457116
16,15.357952439408137,16.958029249301074,14.7053600854964
17,15.35957988732864,16.957639788853733,14.887159618879412
18,15.38536303334229,16.997731707280202,15.065430067070459
19,15.364165605568122,16.96582555687726,15.232633105416209
20,15.435504739043653,17.070038706251204,15.391083370531607
21,15.585066565068882,17.29214519650767,15.541818329015285
22,15.56866251165106,17.266925104819585,15.68408646883803
23,15.470563673495496,17.123464486037953,15.812015984552083
24,15.60664132595206,17.326854705301088,15.93497278720884
25,15.634875349978019,17.36657055971734,16.054302051070163
26,15.583170041067083,17.29026752333551,16.18116972571222
27,15.765358685653869,17.56162533489712,16.28962247618187
28,15.634923118808056,17.365516677335464,16.38893190432441
29,15.714279652646946,17.485882399393237,16.487171146185872
30,15.787773358134674,17.59433825354303,16.571319865826922
31,15.596648138894398,17.30589848017196,16.639840813597864
32,15.59880055461507,17.310095055625652,16.700339970567498
33,15.816783526367582,17.642786984303683,16.7772430215763
34,15.865562819339216,17.720357139734404,16.848437343476903
35,15.696822520271876,17.464667134265,16.915423673695237
36,15.882479056549851,17.749686572003576,16.988056237348545
37,15.74565236945838,17.536116150426682,17.04696997192153
38,15.883650372747546,17.75120660719782,17.104744258665782
39,15.857640718730776,17.710858712019718,17.155680473789147
40,15.85977990012758,17.71300534221201,17.200159632843707
41,15.863866093743756,17.72086008005724,17.24634086357383
42,15.908355066763153,17.786103823470015,17.28467928974871
43,15.927214392285826,17.815246302193984,17.325327087163338
44,15.981994717852944,17.902707682796397,17.367744240033108
45,15.958635740723075,17.865048564503063,17.40915151112228
46,15.963928982188314,17.876475173300655,17.449986328664238
47,15.929759344597088,17.82004313922843,17.484096942396363
48,16.021268278445852,17.96608741679115,17.520404237338422
49,15.918499435098836,17.803281622381036,17.551317143348285
50,16.081142921937982,18.057596419294207,17.584118319977687
51,15.99908177262021,17.930181040953144,17.61170887916824
52,15.989920246399647,17.913822043914188,17.637733794745458
53,16.07593404824909,18.05049408044433,17.66479182398742
54,16.0673373802439,18.036303519220745,17.690663556050676
55,16.081198140093857,18.058638248680072,17.715721064297842
56,16.073168217677953,18.0455014011616,17.73970412313353
57,16.034219436793606,17.985708664726552,17.761956828778157
58,16.06571885893613,18.043006996132227,17.78618684750536
59,16.112108399985285,18.106282294671846,17.80542511265405
60,16.153295980188364,18.176286344082232,17.826375078966347
61,16.11341812538684,18.111940245609652,17.847528063385397
62,16.2103512887585,18.271010699391983,17.870413099536222
63,16.19969116046772,18.247948847621036,17.892199691114502
64,16.218549944018605,18.281474399957386,17.913840274549187
65,16.185102187147347,18.229458805399275,17.93732926638433
66,16.19467923072802,18.244531947003125,17.959468752342662
67,16.25240593295704,18.340638487388496,17.982575737175146
68,16.234224690618383,18.304628023279886,18.00427180067081
69,16.19398889646812,18.246080570021483,18.02576137385122
70,16.19971242033426,18.252678723097134,18.046027513380835
71,16.267794083002418,18.365349346772025,18.06466692669059
72,16.214655813607525,18.275600429267072,18.080399732472934
73,16.29676984495223,18.404772248412637,18.09672654362135
74,16.215924566280464,18.275419007738115,18.110930128897024
75,16.242566142096386,18.31665434195906,18.125278001040176
76,16.270031512734043,18.36401675409959,18.14162616190983
77,16.355486427156517,18.502942091542927,18.159523193949234
78,16.31058648299654,18.431092980102072,18.177921688514914
79,16.30574397722403,18.425015895187148,18.194505622150167
80,16.395247584531234,18.5714114240894,18.214568970649378
81,16.393776348666627,18.568446834843225,18.23408857121311
82,16.41594718280086,18.606654029452407,18.253595881483093
83,16.31522136855209,18.437125316910752,18.269083519725744
84,16.341845812842138,18.483211669905014,18.28711281869933
85,16.4454854707513,18.656289750628133,18.306635878175626
86,16.40247459532493,18.585670691692876,18.32511249974504
87,16.560831605212815,18.85082315322197,18.347090521619208
88,16.398374668646575,18.56946990159411,18.36604290610971
89,16.45132953673629,18.664302446058173,18.386335102512113
90,16.517709790434413,18.77397913757493,18.407518495645526
91,16.471037624052244,18.69968209192579,18.428076481001746
92,16.444696590332832,18.651264850715286,18.446921073508367
93,16.572762426346596,18.868634001579917,18.47016802631754
94,16.55420876773683,18.843475230805865,18.494344413588486
95,16.52744959350391,18.790994615697937,18.51564374910485
96,16.656099164396934,19.002873339390543,18.5388143845355
97,16.678775436442052,19.04661597639809,18.561173205960024
98,16.709284888213574,19.10141595528376,18.58349682045265
99,16.66276989459648,19.019340248477903,18.605955001847022
100,16.7089811970908,19.102705337836166,18.63027786364394
101,16.733016092622663,19.14937599548768,18.655759454555778
102,16.657778079571056,19.01887638831018,18.6789665842624
103,16.77549206610076,19.22213874863116,18.7043595682283
104,16.770393659561744,19.210134595253216,18.729346580197248
105,16.800796425825485,19.259269206527925,18.753039461841013
106,16.807179173240453,19.272270295657275,18.77483791239808
107,16.8273505253716,19.309223016496503,18.797113976702477
108,16.818414903649156,19.295062172262114,18.818606595067543
109,16.881172317431044,19.403022802217414,18.842168903888453
110,16.859943088092464,19.37170385602563,18.86951336863104
111,16.872232629472073,19.391578218796333,18.89940040254696
112,16.870407042680647,19.391244631218814,18.926728668657844
113,16.92761668107153,19.48970058737949,18.95452774550654
114,16.936883873359317,19.50723682868376,18.979076932112314
115,16.969467719194945,19.560545213642307,19.001700319092997
116,16.870102425861432,19.377173084944733,19.021607533505758
117,16.929760721181612,19.48571660369994,19.04349173270886
118,16.995989950445967,19.608171593180423,19.066884211715916
119,16.88706554366332,19.42497722317487,19.08967991452456
120,16.90520590164501,19.456868922184707,19.112977408426563
121,16.97729176500428,19.582012602393085,19.135140920861165
122,17.04811332181756,19.71346776617523,19.15748795700886
123,17.050097746047168,19.715164147681264,19.180062811092846
124,16.9837654454474,19.592255516822394,19.201509349074914
125,16.97195660369428,19.56310656826266,19.222561070437443
126,17.087033941760083,19.783015423336554,19.245979797391918
127,17.102809170843994,19.809396113082396,19.270016150513598
128,17.132381765161377,19.867334914826188,19.294546666069945
129,17.08488510872453,19.777219976866164,19.31916594926178
130,17.05458747492321,19.717232680279693,19.341792880804803
131,17.10852645615599,19.821548985884245,19.366559701893603
132,17.052115548836003,19.710891323371456,19.38894059292946
